name,psnr,ssim,lpips,clip_similarity
animal/animal_01.png,24.132707595825195,0.7378436923027039,0.20806708931922913,0.9750761985778809
animal/animal_02.png,17.24693489074707,0.42680272459983826,0.5703901648521423,0.9322991967201233
animal/animal_03.png,16.161569595336914,0.43153151869773865,0.4899187684059143,0.8646347522735596
animal/animal_04.png,18.718990325927734,0.5173319578170776,0.4491410255432129,0.8913513422012329
animal/animal_05.png,15.940061569213867,0.313710480928421,0.5778441429138184,0.9053962230682373
animal/animal_06.png,25.204496383666992,0.782992422580719,0.20700523257255554,0.9870911240577698
animal/animal_07.png,17.086692810058594,0.617703914642334,0.5977775454521179,0.8208261132240295
animal/animal_08.png,15.83527660369873,0.5188320279121399,0.451023668050766,0.9130603075027466
animal/animal_09.png,23.437206268310547,0.5167803168296814,0.40191879868507385,0.8696194887161255
animal/animal_10.png,19.33407974243164,0.6358034014701843,0.43039774894714355,0.8364370465278625
camera/camera_01.png,26.438915252685547,0.7740004658699036,0.2911236882209778,0.9020366072654724
camera/camera_02.png,24.01483154296875,0.786771297454834,0.23281468451023102,0.9684171676635742
camera/camera_03.png,24.124353408813477,0.7964927554130554,0.20118176937103271,0.9441248178482056
camera/camera_04.png,24.168807983398438,0.7840595841407776,0.4069424569606781,0.9192315340042114
camera/camera_05.png,14.254179000854492,0.48591408133506775,0.5564254522323608,0.9181373119354248
camera/camera_06.png,25.347633361816406,0.748810350894928,0.36224889755249023,0.9306545853614807
camera/camera_07.png,28.62789535522461,0.8013070225715637,0.29112789034843445,0.834379255771637
camera/camera_08.png,20.753063201904297,0.5473683476448059,0.46334102749824524,0.843148946762085
camera/camera_09.png,14.781399726867676,0.3269059658050537,0.6457138657569885,0.7953464388847351
camera/camera_10.png,26.772083282470703,0.8134204745292664,0.1939539909362793,0.9635900855064392
face/face_01.png,31.067371368408203,0.8438685536384583,0.24296841025352478,0.9052652716636658
face/face_02.png,13.429634094238281,0.3197152614593506,0.5823005437850952,0.9026654362678528
face/face_03.png,15.29076099395752,0.5865736603736877,0.4069596529006958,0.7530177235603333
face/face_04.png,21.356231689453125,0.7264674305915833,0.48808690905570984,0.7757399678230286
face/face_05.png,28.792829513549805,0.8229438662528992,0.23846489191055298,0.8840174078941345
face/face_06.png,30.37736701965332,0.8282535672187805,0.209949791431427,0.9360599517822266
face/face_07.png,15.428491592407227,0.5701138377189636,0.5267736911773682,0.8233132362365723
face/face_08.png,17.202749252319336,0.5882219672203064,0.5869457721710205,0.77610182762146
face/face_09.png,28.314682006835938,0.8157613277435303,0.2244476079940796,0.922819197177887
face/face_10.png,25.250490188598633,0.6498960256576538,0.35573452711105347,0.7489452958106995
human_environment/human_environment_01.png,16.320796966552734,0.5625802874565125,0.40170523524284363,0.9095984101295471
human_environment/human_environment_02.png,14.474567413330078,0.5580959320068359,0.4279097020626068,0.8141611218452454
human_environment/human_environment_03.png,13.413924217224121,0.3546857535839081,0.5549306273460388,0.8132925033569336
human_environment/human_environment_04.png,12.470072746276855,0.3627204895019531,0.5634598731994629,0.7911463379859924
human_environment/human_environment_05.png,25.54050636291504,0.7159619331359863,0.24693049490451813,0.9369840025901794
human_environment/human_environment_06.png,15.185336112976074,0.2493443489074707,0.45176661014556885,0.8434102535247803
human_environment/human_environment_07.png,18.7919979095459,0.5076598525047302,0.4150296449661255,0.8828842043876648
human_environment/human_environment_08.png,22.489471435546875,0.7685422301292419,0.4423581659793854,0.8373713493347168
human_environment/human_environment_09.png,32.7033805847168,0.7659268975257874,0.09019521623849869,0.9596238732337952
human_environment/human_environment_10.png,17.40487289428711,0.49059948325157166,0.3661859929561615,0.9032168388366699
multi_human/multi_human_01.png,7.8771233558654785,0.36108994483947754,0.7396218180656433,0.8681098222732544
multi_human/multi_human_02.png,12.265180587768555,0.3408867418766022,0.5687283277511597,0.9295241832733154
multi_human/multi_human_03.png,18.868791580200195,0.6041553616523743,0.35442423820495605,0.8333323001861572
multi_human/multi_human_04.png,16.113117218017578,0.28196418285369873,0.5750834941864014,0.8956694602966309
multi_human/multi_human_05.png,14.332633972167969,0.3286553621292114,0.5505678653717041,0.8465288281440735
multi_human/multi_human_06.png,18.799697875976562,0.36063918471336365,0.5272924900054932,0.772429347038269
multi_human/multi_human_07.png,14.142760276794434,0.38893306255340576,0.5848841667175293,0.9354534149169922
multi_human/multi_human_08.png,18.921493530273438,0.7269518971443176,0.5123125910758972,0.8188382983207703
multi_human/multi_human_09.png,13.412670135498047,0.1244458556175232,0.6112204790115356,0.7902243733406067
multi_human/multi_human_10.png,12.194844245910645,0.30277255177497864,0.5730459690093994,0.9221612811088562
