category,count,protected_psnr,protected_ssim,protected_lpips,protected_clip_similarity,recovered_psnr,recovered_ssim,recovered_lpips,recovered_clip_similarity
animal,10,35.886618,0.951927,0.071134,0.979441,19.309802,0.549933,0.438348,0.899579
camera,10,35.354261,0.948351,0.086464,0.946428,22.928316,0.686505,0.364487,0.901907
face,10,35.040808,0.933297,0.096121,0.931844,22.651061,0.675182,0.386263,0.842795
human_environment,10,35.581003,0.924319,0.074217,0.967047,18.879493,0.533612,0.396047,0.869169
multi_human,10,35.734289,0.937477,0.067981,0.977885,14.692831,0.382049,0.559718,0.861227
